Security,Sector,Sub-Sector,City/State,Year,Submission,Score
Autodesk,Information Technology,Application Software,"San Francisco, California",2023,Submitted,A-
Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",2023,Submitted,B
AutoZone,Consumer Discretionary,Automotive Retail,"Memphis, Tennessee",2023,Submitted,C
AvalonBay Communities,Real Estate,Multi-Family Residential REITs,"Arlington, Virginia",2023,Submitted,A-
Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio",2023,Submitted,B
Axon Enterprise,Industrials,Aerospace & Defense,"Scottsdale, Arizona",2023,No Response,F
Baker Hughes,Energy,Oil & Gas Equipment & Services,"Houston, Texas",2023,Submitted,C
Ball Corporation,Materials,"Metal, Glass & Plastic Containers","Broomfield, Colorado",2023,Submitted,A-
Bank of America,Financials,Diversified Banks,"Charlotte, North Carolina",2023,Submitted,Not Scored
Baxter International,Health Care,Health Care Equipment,"Deerfield, Illinois",2023,Submitted,B
Becton Dickinson,Health Care,Health Care Equipment,"Franklin Lakes, New Jersey",2023,Submitted,B
Berkshire Hathaway,Financials,Multi-Sector Holdings,"Omaha, Nebraska",2023,No Response,F
Best Buy,Consumer Discretionary,Computer & Electronics Retail,"Richfield, Minnesota",2023,Submitted,A
Bio-Techne,Health Care,Life Sciences Tools & Services,"Minneapolis, Minnesota",2023,No Response,F
Biogen,Health Care,Biotechnology,"Cambridge, Massachusetts",2023,Submitted,B
BlackRock,Financials,Asset Management & Custody Banks,"New York City, New York",2023,Submitted,Not Scored
Blackstone,Financials,Asset Management & Custody Banks,"New York City, New York",2023,Submitted,Not Scored
BNY Mellon,Financials,Asset Management & Custody Banks,"New York City, New York",2023,Submitted,Not Scored
Boeing,Industrials,Aerospace & Defense,"Arlington, Virginia",2023,Submitted,B
Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut",2023,Submitted,C
BorgWarner,Consumer Discretionary,Automotive Parts & Equipment,"Auburn Hills, Michigan",2023,Submitted,B
Boston Scientific,Health Care,Health Care Equipment,"Marlborough, Massachusetts",2023,Submitted,B
Bristol Myers Squibb,Health Care,Pharmaceuticals,"New York City, New York",2023,Submitted,B
Broadcom,Information Technology,Semiconductors,"Palo Alto, California",2023,Submitted,C
Broadridge Financial Solutions,Industrials,Data Processing & Outsourced Services,"Lake Success, New York",2023,Submitted,B
Brown & Brown,Financials,Insurance Brokers,"Daytona Beach, Florida",2023,No Response,F
Builders FirstSource,Industrials,Building Products,"Irving, Texas",2023,No Response,F
C.H. Robinson,Industrials,Air Freight & Logistics,"Eden Prairie, Minnesota",2023,Submitted,B
